id,feature,weight,HI,AR,GK,AL,TB,VE,AV,OC,LI,OE,OI,LA,LU,LY,TA,PE,PR,LT,GO,ON,OG,WE,OS,UM
a100,many,1,1,2,3,4,1,5,3,6,7,3/6,3,8,9,10,1,3,11,7,3/6,6,3/6,12,13,14
a101,meat,1,1,2,3,2,2,2,4,2,2,5,6,7,8,9,10,11,2,12,2,13,5,14,15,16
a102,moon,1,1,2,3,4,5,5,5,10/5,5,12,6,10,1,1,5,5,5,5,12,7,12,11/13,8,9
a103,mother,1,1,2,2,3,2,2,2,2,2,2,2,2,1,1,2,2,2,2,4,2,2,5,2,2
a104,mountain,1,1,2,3,4,5,6,6,19,7,8,9,10,11,12,5,13,14,7,15,16,8,20,17,18
a105,mouth,1,1,2,3,4,5,1,1,6,7,8,9,1,1,10,5,11,6,12,8,8,8,9/13,14,15
a106,name,1,3,1,1,1,1,1,1,1,2,1,1,1,4,4,1,1,1,2,1,1,1,1,1,1
a107,narrow,1,1,2/17,3,4,5,2,6,2,7,2/18,2/8,2,9,10,11,12,13,7,2/14,2/14,2,2/8,15,16
a108,near,1,1,2/20,3/21,4,5/22/23,6,7,8,9,10,11,12,13,14,15,7,16,17,10,10,10,18,19,19
a109,neck,1,1,2,3,4,5,6,6/7,8/19,9,10,11,10,12,13,14,15,16,9,10,10/20,10,7/21,17,18
a110,new,1,1,9,2,3,1,1/10,1,1,10,10,10,1,1,4,1,5,1,6,10,10,10,10,7,8
a111,night,1,1,2,3,3,4,1/3,1,3,3,3,5,3,6,7,4,1,3,3,3,3,3,3,8,9
a112,nose,1,1,2,3,4,5,6,6,6,6,6,7,6,8,9,5,6,6,10,11,6,6,12,13,14
a113,not,1,1,2,2,1,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,4,1,1,1,1
a114,old,1,1,2,3,4,5,2,2,6,2,7,2,6,8,9,5,10,11,6,12,12,7/12,2,13,14
a115,one,1,2,2,2,2,2,9,10,3,4,1,1,1,5,6,2,10,1,4,1,1,1,1,7,8
a116,other,1,1,2,2,3,2,4,4,5/11,6,10,2,2,7,8,2,4,6,6,10,10,10,2,2,9
a117,person,1,1,2,3,4,5,6,7,8,14,6,9,9,10,11,12,7,9,13,6,6,6,14,9,9
a118,pierce,1,1,2/21,3,4/22,5,6/23,7,8,9/24/25,10,11,8/26,12,13,5,14,8,9,15,16,17,18,19,20
a119,play,1,1/25,2,3,4,5,6,7,8,9,10,11/26,12,13,14,15,16,17,18/27,19,20,21,22,23,24
a120,pull,1,1,2/21,3,4,3,5,6,7,8,9/10,11,9,12,13,14,15,16,7,17,9/22,10/17,18,19,20
a121,push,1,1,2,3,4,5,5/19,6,7,8,9,10,11,12,13,5,14,15,8,9,9,9,16,17,18
a122,rain,1,1,2,3,3,18,4,5,6,7,8,9/18,10,11,12,18,13,14,7,8,8,8,15,16,17
a123,red,1,1,2,3,4,3,12,12,5,13,14,14/15,3,6,7,3,8,9,10,14,14,14,14/16,11,3/14
a124,right-hand,1,1,2,3,13,4,14,14,14,14,5,15,16,6,7,8,9,10,11,17,12,17,18,16,16
a125,right,1,1,2,3,4,5,6/19,17,7,8,18,9/20,18,10,11,12,13,14,15,18,18,18,9/21,16,18
a126,river,1,1,2,3,4,5,6/16,7/17,8,9,10,1,11,1,12,13,7,9,9,10/18,10,10/19,1,14,15
a127,road,1,1,2/15,3,4,5,6/7,6/7,6,8,9/16,10/17,11,12,13,5,6,6,8,9,9/18,9,14,11,11
a128,root,1,1,2,3,4,5,6,7,8,9,10,11,10,12,13,14,15,9,9,10,10,10,10,16,17
a129,rope,1,1,2/23/24/25,3/26,4/27,5,6/28,7,8,8/29,21/9/10,11/30/31,12,13,14,15,16,8,8/32,17,22/9/10/33,21/10/34,18,19,20
a130,rotten,1,1,2,3,4,5,6,17,7,18,19,8,20,9,10,11,12,13,21/23,19,22,19,14,15,16
a131,round,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,9,18,10,10,11,19,20
